,surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,extremity_temperature,peripheral_pulse,mucous_membranes,capillary_refill_time,pain_level,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,surgical_lesion,lesion_site,lesion_type,lesion_subtype,cp_data
29,No surgery,Adult horse,535415,37.7,48,20,2,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,None,None,2.0,Absent,Distended large intestine,45.0,76.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
30,No surgery,Adult horse,529475,37.7,96,30,3,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,Significant,> 1 liter,4.0,Absent,Distended large intestine,66.0,7.5,Cloudy,2.0,Died,Yes,4205,0,0,No pathology data
31,No surgery,Adult horse,530242,37.2,108,12,3,Reduced,Pale cyanotic,>= 3 seconds,Depressed,Absent,Slight,Slight,< 1 liter,6.0,Decreased,Firm feces in the large intestine,52.0,8.2,Serosanguinous,7.4,Was euthanized,Yes,2207,0,0,Pathology data present
32,Surgery,Adult horse,529427,37.2,60,20,2,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Absent,Distended large intestine,43.0,6.6,Cloudy,2.0,Lived,Yes,2209,0,0,No pathology data
33,Surgery,Adult horse,529663,38.2,64,28,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypermotile,None,Slight,None,2.0,Absent,Distended small intestine,49.0,8.6,Cloudy,6.6,Lived,Yes,2208,0,0,Pathology data present
34,Surgery,Adult horse,529796,38.0,100,30,3,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,Significant,< 1 liter,2.0,Absent,Distended small intestine,52.0,6.6,Cloudy,2.0,Lived,Yes,1124,0,0,No pathology data
35,No surgery,Adult horse,528812,38.0,104,24,4,Reduced,Pale pink,>= 3 seconds,Intermittent severe pain,Absent,Moderate,Slight,< 1 liter,2.0,Absent,Other,73.0,8.4,Cloudy,2.0,Was euthanized,Yes,7111,0,0,No pathology data
36,No surgery,Adult horse,529493,38.3,112,16,3,Reduced,Bright red / injected,>= 3 seconds,Intermittent mild pain,Hypomotile,None,None,> 1 liter,2.0,Absent,Distended large intestine,51.0,6.0,Cloudy,1.0,Was euthanized,No,5205,0,0,Pathology data present
37,Surgery,Adult horse,533847,37.8,72,20,3,Reduced,Normal pink,< 3 seconds,Continuous severe pain,Hypomotile,None,Slight,None,2.0,Normal,Normal,56.0,80.0,Clear,2.0,Lived,Yes,3111,0,0,No pathology data
38,No surgery,Adult horse,528996,38.6,52,20,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,None,2.0,Normal,Firm feces in the large intestine,32.0,6.6,Clear,5.0,Lived,No,0,0,0,Pathology data present
39,Surgery,Young,5277409,39.2,146,96,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Died,Yes,2113,0,0,No pathology data
40,Surgery,Adult horse,529498,38.0,88,20,3,Reduced,Dark cyanotic,>= 3 seconds,Continuous severe pain,Hypomotile,Moderate,None,< 1 liter,2.0,Absent,Distended large intestine,63.0,6.5,Serosanguinous,2.0,Died,Yes,4205,0,0,No pathology data
41,No surgery,Young,5288249,39.0,150,72,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,47.0,8.5,Cloudy,0.1,Lived,Yes,9400,0,0,Pathology data present
42,No surgery,Adult horse,530301,38.0,60,12,3,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,None,2.0,Increased,Other,47.0,7.0,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
43,Surgery,Adult horse,534069,38.0,120,20,3,Absent,Pale cyanotic,< 3 seconds,Intermittent severe pain,Absent,Severe,None,None,2.0,Absent,Distended large intestine,52.0,67.0,Cloudy,2.0,Was euthanized,Yes,3205,0,0,No pathology data
44,Surgery,Adult horse,535407,35.4,140,24,3,Reduced,Pale cyanotic,>= 3 seconds,Intermittent severe pain,Absent,None,Slight,None,2.0,Absent,Distended large intestine,57.0,69.0,Serosanguinous,2.0,Was euthanized,Yes,3205,0,0,No pathology data
45,No surgery,Adult horse,529827,38.0,120,20,4,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,None,None,2.0,Absent,Distended large intestine,60.0,6.5,Serosanguinous,2.0,Died,Yes,3205,0,0,No pathology data
46,Surgery,Adult horse,529888,37.9,60,15,3,Normal,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Severe,Slight,> 1 liter,2.0,Absent,Distended large intestine,65.0,7.5,Cloudy,2.0,Lived,Yes,2305,0,0,Pathology data present
47,No surgery,Adult horse,529821,37.5,48,16,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,None,None,2.0,Normal,Distended large intestine,37.0,6.5,Cloudy,2.0,Lived,No,0,0,0,No pathology data
48,Surgery,Adult horse,528890,38.9,80,44,3,Reduced,Pale pink,>= 3 seconds,Depressed,Hypomotile,Moderate,Slight,> 1 liter,7.0,Decreased,Normal,54.0,6.5,Serosanguinous,2.0,Died,Yes,7111,0,0,No pathology data
49,No surgery,Adult horse,529642,37.2,84,48,3,Reduced,Bright red / injected,>= 3 seconds,Intermittent severe pain,Hypermotile,Slight,None,> 1 liter,2.0,Increased,Normal,73.0,5.5,Cloudy,4.1,Died,No,4300,0,0,Pathology data present
50,No surgery,Adult horse,529766,38.6,46,20,1,Normal,Bright pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,None,None,2.0,Absent,Other,49.0,9.1,Clear,1.6,Lived,No,3111,0,0,Pathology data present
51,Surgery,Adult horse,527706,37.4,84,36,1,Normal,Pale pink,>= 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Serosanguinous,2.0,Died,Yes,7209,0,0,Pathology data present
52,No surgery,Adult horse,529483,38.0,48,20,1,Normal,Pale pink,< 3 seconds,"Alert, no pain",Hypomotile,None,Slight,None,2.0,Increased,Other,43.0,7.7,Cloudy,2.0,Lived,No,3111,0,0,No pathology data
53,No surgery,Adult horse,530544,38.6,40,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,41.0,6.4,Cloudy,2.0,Lived,No,3111,0,0,Pathology data present
54,No surgery,Adult horse,529461,40.3,114,36,3,Reduced,Normal pink,>= 3 seconds,Depressed,Hypomotile,Moderate,Slight,None,7.0,Normal,Distended large intestine,57.0,8.1,Serosanguinous,4.5,Was euthanized,Yes,7400,0,0,Pathology data present
55,Surgery,Young,5282839,38.6,160,20,3,Normal,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypomotile,Severe,Significant,None,2.0,Absent,Distended large intestine,38.0,6.5,Cloudy,2.0,Died,Yes,7111,0,0,Pathology data present
56,Surgery,Adult horse,528872,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,24.0,6.7,Cloudy,2.0,Lived,Yes,3112,0,0,No pathology data
57,Surgery,Adult horse,529640,38.0,64,36,2,Normal,Bright pink,< 3 seconds,Continuous severe pain,Hypomotile,Moderate,Slight,> 1 liter,2.0,Absent,Distended large intestine,42.0,7.7,Cloudy,2.0,Died,Yes,3209,0,0,No pathology data
58,Surgery,Adult horse,528298,38.0,48,20,4,Reduced,Pale pink,< 3 seconds,Continuous severe pain,Absent,Moderate,Slight,None,2.0,Absent,Distended small intestine,53.0,5.9,Serosanguinous,2.0,Died,Yes,3205,0,0,Pathology data present
59,No surgery,Adult horse,528904,38.0,96,20,3,Reduced,Pale pink,>= 3 seconds,Continuous severe pain,Absent,Severe,None,> 1 liter,2.0,Absent,Distended large intestine,60.0,6.5,Cloudy,2.0,Died,Yes,4205,0,0,No pathology data
60,No surgery,Adult horse,530438,37.8,48,32,1,Normal,Pale pink,< 3 seconds,Depressed,Hypermotile,None,None,None,2.0,Absent,Distended large intestine,37.0,6.7,Cloudy,2.0,Lived,No,2124,0,0,No pathology data
61,No surgery,Adult horse,527957,38.5,60,20,2,Increased,Normal pink,< 3 seconds,"Alert, no pain",Normal,Slight,Slight,None,2.0,Normal,Normal,44.0,7.7,Cloudy,2.0,Lived,No,0,0,0,No pathology data
62,Surgery,Adult horse,528630,37.8,88,22,2,Normal,Bright pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,64.0,8.0,Clear,6.0,Died,Yes,3205,0,0,Pathology data present
63,No surgery,Adult horse,534293,38.2,130,16,4,Reduced,Pale cyanotic,>= 3 seconds,Depressed,Absent,Severe,None,None,2.0,Absent,Distended large intestine,65.0,82.0,Cloudy,2.0,Was euthanized,No,2209,1400,0,No pathology data
64,Surgery,Adult horse,529667,39.0,64,36,3,Normal,Pale cyanotic,>= 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,> 1 liter,7.0,Absent,Distended large intestine,44.0,7.5,Serosanguinous,5.0,Lived,Yes,2113,0,0,Pathology data present
65,Surgery,Adult horse,534885,38.0,60,36,3,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,None,None,2.0,Decreased,Distended small intestine,26.0,72.0,Cloudy,1.0,Lived,Yes,2208,0,0,No pathology data
66,No surgery,Adult horse,534784,37.9,72,20,1,Normal,Bright red / injected,>= 3 seconds,Intermittent mild pain,Hypomotile,None,None,< 1 liter,2.0,Decreased,Distended small intestine,58.0,74.0,Clear,2.0,Lived,Yes,2322,0,0,No pathology data
67,No surgery,Adult horse,528931,38.4,54,24,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,None,Slight,None,2.0,Decreased,Other,49.0,7.2,Clear,2.0,Lived,No,3111,0,0,Pathology data present
68,No surgery,Adult horse,529777,38.0,52,16,1,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,< 1 liter,5.5,Absent,Distended large intestine,55.0,7.2,Cloudy,2.0,Lived,No,2124,0,0,No pathology data
69,No surgery,Adult horse,530276,38.0,48,12,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,None,None,None,2.0,Decreased,Other,42.0,6.3,Cloudy,4.1,Lived,No,3111,0,0,Pathology data present
70,No surgery,Adult horse,528214,37.0,60,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,> 1 liter,4.5,Absent,Distended small intestine,43.0,7.6,Cloudy,2.0,Was euthanized,Yes,2209,0,0,Pathology data present
71,Surgery,Adult horse,529424,37.8,48,28,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Normal,None,Slight,None,2.0,Normal,Normal,46.0,5.9,Cloudy,7.0,Lived,No,0,0,0,Pathology data present
72,Surgery,Adult horse,5299253,37.7,56,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Died,Yes,2113,0,0,No pathology data
73,Surgery,Adult horse,528469,38.1,52,24,1,Normal,Bright red / injected,< 3 seconds,Intermittent severe pain,Hypomotile,None,Slight,< 1 liter,7.0,Normal,Distended large intestine,54.0,7.5,Cloudy,2.6,Died,Yes,2112,0,0,Pathology data present
74,Surgery,Young,5292929,38.0,48,20,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,37.0,4.9,Cloudy,2.0,Died,Yes,11124,0,0,No pathology data
75,Surgery,Young,534092,39.7,100,20,3,Reduced,Bright red / injected,>= 3 seconds,Depressed,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,48.0,57.0,Cloudy,2.0,Was euthanized,Yes,1400,0,0,No pathology data
76,Surgery,Adult horse,534615,37.6,38,20,3,Reduced,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Decreased,Distended large intestine,37.0,68.0,Cloudy,2.0,Lived,Yes,3205,0,0,No pathology data
77,No surgery,Adult horse,534753,38.7,52,20,2,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,None,None,2.0,Normal,Normal,33.0,77.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
78,Surgery,Adult horse,530693,38.0,48,20,3,Reduced,Pale pink,< 3 seconds,Continuous severe pain,Hypomotile,Moderate,Significant,> 1 liter,2.0,Absent,Distended large intestine,46.0,5.9,Cloudy,2.0,Died,Yes,3025,0,0,No pathology data
79,Surgery,Adult horse,527463,37.5,96,18,1,Reduced,Dark cyanotic,>= 3 seconds,Intermittent mild pain,Absent,Slight,Slight,< 1 liter,5.0,Absent,Distended small intestine,69.0,8.9,Serosanguinous,2.0,Lived,Yes,2208,0,0,Pathology data present
80,Surgery,Adult horse,527518,36.4,98,35,3,Reduced,Pale cyanotic,< 3 seconds,Intermittent severe pain,Hypomotile,Slight,Slight,None,2.0,Absent,Distended small intestine,47.0,6.4,Serosanguinous,3.6,Died,Yes,2205,0,0,Pathology data present
81,Surgery,Adult horse,534756,37.3,40,20,3,Reduced,Normal pink,< 3 seconds,Depressed,Hypomotile,Slight,Significant,None,2.0,Decreased,Distended large intestine,36.0,6.5,Serosanguinous,2.0,Lived,Yes,3111,0,0,No pathology data
82,Surgery,Young,5290759,38.1,100,80,3,Normal,Bright pink,< 3 seconds,Intermittent mild pain,Absent,None,Slight,None,2.0,Normal,Distended large intestine,36.0,5.7,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
83,Surgery,Adult horse,5279822,38.0,48,24,3,Reduced,Dark cyanotic,>= 3 seconds,Continuous severe pain,Hypomotile,Severe,None,None,2.0,Absent,Distended large intestine,68.0,7.8,Cloudy,2.0,Died,Yes,3205,0,0,No pathology data
84,Surgery,Adult horse,529849,37.8,60,80,1,Reduced,Bright pink,>= 3 seconds,Depressed,Hypomotile,Moderate,Slight,> 1 liter,5.5,Absent,Distended large intestine,40.0,4.5,Cloudy,2.0,Lived,Yes,5206,0,0,Pathology data present
85,No surgery,Adult horse,529304,38.0,54,30,2,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Hypermotile,Slight,Slight,> 1 liter,2.0,Absent,Distended small intestine,45.0,6.2,Cloudy,2.0,Lived,No,400,0,0,No pathology data
86,Surgery,Adult horse,529388,38.0,88,40,3,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,Moderate,Significant,None,2.0,Absent,Distended large intestine,50.0,7.7,Serosanguinous,1.4,Died,Yes,4205,0,0,Pathology data present
87,No surgery,Adult horse,528006,38.0,40,16,3,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,50.0,7.0,Cloudy,3.9,Was euthanized,Yes,2208,0,0,Pathology data present
88,No surgery,Adult horse,529703,39.0,64,40,1,Normal,Bright red / injected,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Decreased,Firm feces in the large intestine,42.0,7.5,Cloudy,2.3,Lived,No,5000,0,0,Pathology data present
89,No surgery,Adult horse,535381,38.3,42,10,1,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Slight,None,2.0,Absent,Distended large intestine,38.0,61.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
90,No surgery,Adult horse,534197,38.0,52,16,3,Normal,Normal pink,< 3 seconds,Depressed,Hypomotile,None,Slight,< 1 liter,1.0,Normal,Normal,53.0,86.0,Cloudy,2.0,Lived,Yes,2322,0,0,No pathology data
91,No surgery,Adult horse,529461,40.3,114,36,3,Reduced,Normal pink,>= 3 seconds,Depressed,Hypomotile,Moderate,Slight,None,7.0,Normal,Distended large intestine,57.0,8.1,Serosanguinous,4.5,Died,Yes,3205,0,0,Pathology data present
92,No surgery,Adult horse,530251,38.8,50,20,3,Normal,Normal pink,< 3 seconds,"Alert, no pain",Hypermotile,None,Slight,None,2.0,Decreased,Normal,42.0,6.2,Cloudy,2.0,Lived,No,0,0,0,No pathology data
93,No surgery,Adult horse,530310,38.0,48,20,3,Reduced,Normal pink,< 3 seconds,Continuous severe pain,Hypomotile,Moderate,None,None,2.0,Absent,Distended large intestine,38.0,6.5,Cloudy,2.0,Died,Yes,3205,0,0,No pathology data
94,No surgery,Adult horse,528729,37.5,48,30,4,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Normal,None,None,None,2.0,Normal,Normal,48.0,8.6,Cloudy,2.0,Lived,No,0,0,0,No pathology data
95,Surgery,Adult horse,535158,37.3,48,20,3,Normal,Bright pink,< 3 seconds,Intermittent mild pain,Hypomotile,Moderate,Slight,None,2.0,Decreased,Distended large intestine,41.0,69.0,Cloudy,2.0,Lived,Yes,3205,0,0,No pathology data
96,No surgery,Adult horse,530319,38.0,84,36,3,Normal,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,Slight,None,2.0,Decreased,Other,44.0,8.5,Cloudy,2.0,Lived,Yes,3111,0,0,No pathology data
97,Surgery,Adult horse,534145,38.1,88,32,3,Reduced,Pale cyanotic,< 3 seconds,Depressed,Hypomotile,Moderate,Slight,< 1 liter,1.0,Absent,Distended large intestine,55.0,60.0,Cloudy,2.0,Was euthanized,No,3205,0,0,No pathology data
98,No surgery,Adult horse,534135,37.7,44,40,2,Normal,Pale pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,None,None,2.0,Normal,Distended large intestine,41.0,60.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
99,No surgery,Adult horse,530002,39.6,108,51,3,Reduced,Dark cyanotic,>= 3 seconds,Depressed,Absent,Moderate,None,> 1 liter,2.0,Decreased,Distended large intestine,59.0,8.0,Cloudy,2.6,Lived,No,4300,0,0,Pathology data present
100,Surgery,Adult horse,535364,38.2,40,16,3,Reduced,Normal pink,< 3 seconds,"Alert, no pain",Hypomotile,None,Slight,None,2.0,Normal,Normal,34.0,66.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
101,Surgery,Adult horse,534899,38.0,60,20,4,Reduced,Pale cyanotic,>= 3 seconds,Continuous severe pain,Absent,None,Slight,None,2.0,Absent,Distended large intestine,40.0,6.5,Cloudy,2.0,Was euthanized,Yes,3205,0,0,No pathology data
102,No surgery,Adult horse,534938,38.3,40,16,3,Normal,Normal pink,< 3 seconds,Depressed,Hypomotile,None,Slight,None,2.0,Absent,Distended large intestine,37.0,57.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
103,Surgery,Young,5292489,38.0,140,68,1,Normal,Normal pink,< 3 seconds,Intermittent mild pain,Hypomotile,Slight,Slight,None,2.0,Increased,Normal,39.0,5.3,Cloudy,2.0,Lived,Yes,7111,0,0,No pathology data
104,Surgery,Adult horse,527563,37.8,52,24,1,Reduced,Pale pink,< 3 seconds,Intermittent severe pain,Absent,None,Slight,< 1 liter,5.7,Increased,Distended large intestine,48.0,6.6,Clear,3.7,Died,Yes,5400,0,0,No pathology data
105,Surgery,Adult horse,530381,38.0,70,36,1,Normal,Pale pink,>= 3 seconds,Depressed,Hypomotile,Slight,Slight,None,2.0,Absent,Distended large intestine,36.0,7.3,Cloudy,2.0,Lived,Yes,31110,0,0,No pathology data
106,Surgery,Adult horse,528668,38.3,52,96,3,Reduced,Pale pink,< 3 seconds,Intermittent mild pain,Hypomotile,None,None,None,2.0,Normal,Distended large intestine,43.0,6.1,Cloudy,2.0,Lived,Yes,3209,0,0,Pathology data present
107,No surgery,Adult horse,529764,37.3,50,32,1,Normal,Pale pink,< 3 seconds,"Alert, no pain",Hypomotile,Slight,Slight,None,2.0,Normal,Distended large intestine,44.0,7.0,Cloudy,2.0,Lived,No,0,0,0,No pathology data
108,Surgery,Adult horse,533696,38.7,60,32,4,Reduced,Bright pink,>= 3 seconds,Intermittent severe pain,Absent,Severe,Slight,None,2.0,Absent,Distended large intestine,53.0,64.0,Serosanguinous,2.0,Was euthanized,Yes,3205,0,0,No pathology data
